CodigoEstudiante;CodigoCurso;PromedioFinal
u15442443;C001;17
u25963038;C002;15
u27656150;C003;15
u15080585;C006;15
u29082200;C007;20
u15080585;C008;18
u29082200;C001;20
u15698885;C002;12
u27895982;C003;17
u28853064;C004;14
u12327288;C005;20
u18866845;C006;17
u15442443;C007;18
u25963038;C008;14
u27656150;C004;13
u27895982;C001;18
u27656150;C002;19
u28853064;C003;13
u12327288;C004;17
u18866845;C005;17
u15442443;C006;17
u25963038;C007;20
u27656150;C008;12
u15080585;C001;18
u29082200;C002;12
u15698885;C003;20
u27895982;C004;15
u28853064;C005;14
u12327288;C006;14
u18866845;C007;14
u15442443;C008;15
u25963038;C009;13
u27656150;C001;17
u15080585;C002;16
u29082200;C003;18
u15698885;C004;17
u27895982;C005;13
u28853064;C006;20
u12327288;C007;20
u18866845;C008;18
